,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family_size,Age_class,Fare_per_person,Age_group
68,69,1,3,1,17.0,4,2,7.92,S,Miss,6,51.0,1.13,C
69,70,0,3,0,26.0,2,0,8.66,S,Mr,2,78.0,2.89,A
70,71,0,2,0,32.0,0,0,10.5,S,Mr,0,64.0,10.5,A
71,72,0,3,1,16.0,5,2,46.9,S,Miss,7,48.0,5.86,C
72,73,0,2,0,21.0,0,0,73.5,S,Mr,0,42.0,73.5,Y
73,74,0,3,0,26.0,1,0,14.45,C,Mr,1,78.0,7.22,A
74,75,1,3,0,32.0,0,0,56.5,S,Mr,0,96.0,56.5,A
75,76,0,3,0,25.0,0,0,7.65,S,Mr,0,75.0,7.65,Y
78,79,1,2,0,0.83,0,2,29.0,S,Master,2,1.66,9.67,C
79,80,1,3,1,30.0,0,0,12.48,S,Miss,0,90.0,12.48,A
80,81,0,3,0,22.0,0,0,9.0,S,Mr,0,66.0,9.0,Y
81,82,1,3,0,29.0,0,0,9.5,S,Mr,0,87.0,9.5,A
83,84,0,1,0,28.0,0,0,47.1,S,Mr,0,28.0,47.1,A
84,85,1,2,1,17.0,0,0,10.5,S,Miss,0,34.0,10.5,C
85,86,1,3,1,33.0,3,0,15.85,S,Mrs,3,99.0,3.96,A
86,87,0,3,0,16.0,1,3,34.38,S,Mr,4,48.0,6.88,C
88,89,1,1,1,23.0,3,2,263.0,S,Miss,5,23.0,43.83,Y
89,90,0,3,0,24.0,0,0,8.05,S,Mr,0,72.0,8.05,Y
90,91,0,3,0,29.0,0,0,8.05,S,Mr,0,87.0,8.05,A
91,92,0,3,0,20.0,0,0,7.85,S,Mr,0,60.0,7.85,Y
92,93,0,1,0,46.0,1,0,61.18,S,Mr,1,46.0,30.59,A
93,94,0,3,0,26.0,1,2,20.58,S,Mr,3,78.0,5.14,A
94,95,0,3,0,59.0,0,0,7.25,S,Mr,0,177.0,7.25,A
96,97,0,1,0,71.0,0,0,34.65,C,Mr,0,71.0,34.65,E
97,98,1,1,0,23.0,0,1,63.36,C,Mr,1,23.0,31.68,Y
98,99,1,2,1,34.0,0,1,23.0,S,Mrs,1,68.0,11.5,A
99,100,0,2,0,34.0,1,0,26.0,S,Mr,1,68.0,13.0,A
100,101,0,3,1,28.0,0,0,7.9,S,Miss,0,84.0,7.9,A
102,103,0,1,0,21.0,0,1,77.29,S,Mr,1,21.0,38.65,Y
103,104,0,3,0,33.0,0,0,8.65,S,Mr,0,99.0,8.65,A
104,105,0,3,0,37.0,2,0,7.92,S,Mr,2,111.0,2.64,A
105,106,0,3,0,28.0,0,0,7.9,S,Mr,0,84.0,7.9,A
106,107,1,3,1,21.0,0,0,7.65,S,Miss,0,63.0,7.65,Y
108,109,0,3,0,38.0,0,0,7.9,S,Mr,0,114.0,7.9,A
110,111,0,1,0,47.0,0,0,52.0,S,Mr,0,47.0,52.0,A
111,112,0,3,1,14.5,1,0,14.45,C,Miss,1,43.5,7.22,C
112,113,0,3,0,22.0,0,0,8.05,S,Mr,0,66.0,8.05,Y
113,114,0,3,1,20.0,1,0,9.82,S,Miss,1,60.0,4.91,Y
114,115,0,3,1,17.0,0,0,14.46,C,Miss,0,51.0,14.46,C
115,116,0,3,0,21.0,0,0,7.92,S,Mr,0,63.0,7.92,Y
116,117,0,3,0,70.5,0,0,7.75,Q,Mr,0,211.5,7.75,E
117,118,0,2,0,29.0,1,0,21.0,S,Mr,1,58.0,10.5,A
118,119,0,1,0,24.0,0,1,247.52,C,Mr,1,24.0,123.76,Y
119,120,0,3,1,2.0,4,2,31.28,S,Miss,6,6.0,4.47,C
120,121,0,2,0,21.0,2,0,73.5,S,Mr,2,42.0,24.5,Y
122,123,0,2,0,32.5,1,0,30.07,C,Mr,1,65.0,15.04,A
123,124,1,2,1,32.5,0,0,13.0,S,Miss,0,65.0,13.0,A
124,125,0,1,0,54.0,0,1,77.29,S,Mr,1,54.0,38.65,A
125,126,1,3,0,12.0,1,0,11.24,C,Master,1,36.0,5.62,C
127,128,1,3,0,24.0,0,0,7.14,S,Mr,0,72.0,7.14,Y
129,130,0,3,0,45.0,0,0,6.98,S,Mr,0,135.0,6.98,A
130,131,0,3,0,33.0,0,0,7.9,C,Mr,0,99.0,7.9,A
131,132,0,3,0,20.0,0,0,7.05,S,Mr,0,60.0,7.05,Y
132,133,0,3,1,47.0,1,0,14.5,S,Mrs,1,141.0,7.25,A
133,134,1,2,1,29.0,1,0,26.0,S,Mrs,1,58.0,13.0,A
134,135,0,2,0,25.0,0,0,13.0,S,Mr,0,50.0,13.0,Y
135,136,0,2,0,23.0,0,0,15.05,C,Mr,0,46.0,15.05,Y
136,137,1,1,1,19.0,0,2,26.28,S,Miss,2,19.0,8.76,Y
137,138,0,1,0,37.0,1,0,53.1,S,Mr,1,37.0,26.55,A
138,139,0,3,0,16.0,0,0,9.22,S,Mr,0,48.0,9.22,C
139,140,0,1,0,24.0,0,0,79.2,C,Mr,0,24.0,79.2,Y
141,142,1,3,1,22.0,0,0,7.75,S,Miss,0,66.0,7.75,Y
142,143,1,3,1,24.0,1,0,15.85,S,Mrs,1,72.0,7.92,Y
143,144,0,3,0,19.0,0,0,6.75,Q,Mr,0,57.0,6.75,Y
144,145,0,2,0,18.0,0,0,11.5,S,Mr,0,36.0,11.5,Y
145,146,0,2,0,19.0,1,1,36.75,S,Mr,2,38.0,12.25,Y
146,147,1,3,0,27.0,0,0,7.8,S,Mr,0,81.0,7.8,A
147,148,0,3,1,9.0,2,2,34.38,S,Miss,4,27.0,6.88,C
148,149,0,2,0,36.5,0,2,26.0,S,Mr,2,73.0,8.67,A
149,150,0,2,0,42.0,0,0,13.0,S,Mr,0,84.0,13.0,A
150,151,0,2,0,51.0,0,0,12.52,S,Mr,0,102.0,12.52,A
151,152,1,1,1,22.0,1,0,66.6,S,Mrs,1,22.0,33.3,Y
152,153,0,3,0,55.5,0,0,8.05,S,Mr,0,166.5,8.05,A
153,154,0,3,0,40.5,0,2,14.5,S,Mr,2,121.5,4.83,A
155,156,0,1,0,51.0,0,1,61.38,C,Mr,1,51.0,30.69,A
156,157,1,3,1,16.0,0,0,7.73,Q,Miss,0,48.0,7.73,C
157,158,0,3,0,30.0,0,0,8.05,S,Mr,0,90.0,8.05,A
160,161,0,3,0,44.0,0,1,16.1,S,Mr,1,132.0,8.05,A
161,162,1,2,1,40.0,0,0,15.75,S,Mrs,0,80.0,15.75,A
162,163,0,3,0,26.0,0,0,7.78,S,Mr,0,78.0,7.78,A
163,164,0,3,0,17.0,0,0,8.66,S,Mr,0,51.0,8.66,C
164,165,0,3,0,1.0,4,1,39.69,S,Master,5,3.0,6.61,C
165,166,1,3,0,9.0,0,2,20.52,S,Master,2,27.0,6.84,C
167,168,0,3,1,45.0,1,4,27.9,S,Mrs,5,135.0,4.65,A
169,170,0,3,0,28.0,0,0,56.5,S,Mr,0,84.0,56.5,A
170,171,0,1,0,61.0,0,0,33.5,S,Mr,0,61.0,33.5,A
171,172,0,3,0,4.0,4,1,29.12,Q,Master,5,12.0,4.85,C
172,173,1,3,1,1.0,1,1,11.13,S,Miss,2,3.0,3.71,C
173,174,0,3,0,21.0,0,0,7.92,S,Mr,0,63.0,7.92,Y
174,175,0,1,0,56.0,0,0,30.7,C,Mr,0,56.0,30.7,A
175,176,0,3,0,18.0,1,1,7.85,S,Mr,2,54.0,2.62,Y
177,178,0,1,1,50.0,0,0,28.71,C,Miss,0,50.0,28.71,A
178,179,0,2,0,30.0,0,0,13.0,S,Mr,0,60.0,13.0,A
179,180,0,3,0,36.0,0,0,0.0,S,Mr,0,108.0,0.0,A
182,183,0,3,0,9.0,4,2,31.39,S,Master,6,27.0,4.48,C
183,184,1,2,0,1.0,2,1,39.0,S,Master,3,2.0,9.75,C
184,185,1,3,1,4.0,0,2,22.02,S,Miss,2,12.0,7.34,C
187,188,1,1,0,45.0,0,0,26.55,S,Mr,0,45.0,26.55,A
188,189,0,3,0,40.0,1,1,15.5,Q,Mr,2,120.0,5.17,A
189,190,0,3,0,36.0,0,0,7.9,S,Mr,0,108.0,7.9,A
190,191,1,2,1,32.0,0,0,13.0,S,Mrs,0,64.0,13.0,A
191,192,0,2,0,19.0,0,0,13.0,S,Mr,0,38.0,13.0,Y
192,193,1,3,1,19.0,1,0,7.85,S,Miss,1,57.0,3.92,Y
193,194,1,2,0,3.0,1,1,26.0,S,Master,2,6.0,8.67,C
194,195,1,1,1,44.0,0,0,27.72,C,Mrs,0,44.0,27.72,A
195,196,1,1,1,58.0,0,0,146.52,C,Miss,0,58.0,146.52,A
197,198,0,3,0,42.0,0,1,8.4,S,Mr,1,126.0,4.2,A
199,200,0,2,1,24.0,0,0,13.0,S,Miss,0,48.0,13.0,Y
200,201,0,3,0,28.0,0,0,9.5,S,Mr,0,84.0,9.5,A
202,203,0,3,0,34.0,0,0,6.5,S,Mr,0,102.0,6.5,A
203,204,0,3,0,45.5,0,0,7.22,C,Mr,0,136.5,7.22,A
204,205,1,3,0,18.0,0,0,8.05,S,Mr,0,54.0,8.05,Y
205,206,0,3,1,2.0,0,1,10.46,S,Miss,1,6.0,5.23,C
206,207,0,3,0,32.0,1,0,15.85,S,Mr,1,96.0,7.92,A
207,208,1,3,0,26.0,0,0,18.79,C,Mr,0,78.0,18.79,A
208,209,1,3,1,16.0,0,0,7.75,Q,Miss,0,48.0,7.75,C
209,210,1,1,0,40.0,0,0,31.0,C,Mr,0,40.0,31.0,A
210,211,0,3,0,24.0,0,0,7.05,S,Mr,0,72.0,7.05,Y
211,212,1,2,1,35.0,0,0,21.0,S,Miss,0,70.0,21.0,A
212,213,0,3,0,22.0,0,0,7.25,S,Mr,0,66.0,7.25,Y
213,214,0,2,0,30.0,0,0,13.0,S,Mr,0,60.0,13.0,A
215,216,1,1,1,31.0,1,0,113.28,C,Miss,1,31.0,56.64,A
216,217,1,3,1,27.0,0,0,7.92,S,Miss,0,81.0,7.92,A
217,218,0,2,0,42.0,1,0,27.0,S,Mr,1,84.0,13.5,A
218,219,1,1,1,32.0,0,0,76.29,C,Miss,0,32.0,76.29,A
219,220,0,2,0,30.0,0,0,10.5,S,Mr,0,60.0,10.5,A
220,221,1,3,0,16.0,0,0,8.05,S,Mr,0,48.0,8.05,C
221,222,0,2,0,27.0,0,0,13.0,S,Mr,0,54.0,13.0,A
222,223,0,3,0,51.0,0,0,8.05,S,Mr,0,153.0,8.05,A
224,225,1,1,0,38.0,1,0,90.0,S,Mr,1,38.0,45.0,A
225,226,0,3,0,22.0,0,0,9.35,S,Mr,0,66.0,9.35,Y
226,227,1,2,0,19.0,0,0,10.5,S,Mr,0,38.0,10.5,Y
227,228,0,3,0,20.5,0,0,7.25,S,Mr,0,61.5,7.25,Y
228,229,0,2,0,18.0,0,0,13.0,S,Mr,0,36.0,13.0,Y
230,231,1,1,1,35.0,1,0,83.48,S,Mrs,1,35.0,41.74,A
231,232,0,3,0,29.0,0,0,7.78,S,Mr,0,87.0,7.78,A
232,233,0,2,0,59.0,0,0,13.5,S,Mr,0,118.0,13.5,A
233,234,1,3,1,5.0,4,2,31.39,S,Miss,6,15.0,4.48,C
234,235,0,2,0,24.0,0,0,10.5,S,Mr,0,48.0,10.5,Y
236,237,0,2,0,44.0,1,0,26.0,S,Mr,1,88.0,13.0,A
237,238,1,2,1,8.0,0,2,26.25,S,Miss,2,16.0,8.75,C
238,239,0,2,0,19.0,0,0,10.5,S,Mr,0,38.0,10.5,Y
239,240,0,2,0,33.0,0,0,12.28,S,Mr,0,66.0,12.28,A
242,243,0,2,0,29.0,0,0,10.5,S,Mr,0,58.0,10.5,A
243,244,0,3,0,22.0,0,0,7.12,S,Mr,0,66.0,7.12,Y
244,245,0,3,0,30.0,0,0,7.22,C,Mr,0,90.0,7.22,A
245,246,0,1,0,44.0,2,0,90.0,Q,Dr,2,44.0,30.0,A
246,247,0,3,1,25.0,0,0,7.78,S,Miss,0,75.0,7.78,Y
247,248,1,2,1,24.0,0,2,14.5,S,Mrs,2,48.0,4.83,Y
248,249,1,1,0,37.0,1,1,52.55,S,Mr,2,37.0,17.52,A
249,250,0,2,0,54.0,1,0,26.0,S,Mr,1,108.0,13.0,A
251,252,0,3,1,29.0,1,1,10.46,S,Mrs,2,87.0,3.49,A
252,253,0,1,0,62.0,0,0,26.55,S,Mr,0,62.0,26.55,A
253,254,0,3,0,30.0,1,0,16.1,S,Mr,1,90.0,8.05,A
254,255,0,3,1,41.0,0,2,20.21,S,Mrs,2,123.0,6.74,A
255,256,1,3,1,29.0,0,2,15.25,C,Mrs,2,87.0,5.08,A
257,258,1,1,1,30.0,0,0,86.5,S,Miss,0,30.0,86.5,A
258,259,1,1,1,35.0,0,0,512.33,C,Miss,0,35.0,512.33,A
259,260,1,2,1,50.0,0,1,26.0,S,Mrs,1,100.0,13.0,A
261,262,1,3,0,3.0,4,2,31.39,S,Master,6,9.0,4.48,C
262,263,0,1,0,52.0,1,1,79.65,S,Mr,2,52.0,26.55,A
263,264,0,1,0,40.0,0,0,0.0,S,Mr,0,40.0,0.0,A
265,266,0,2,0,36.0,0,0,10.5,S,Mr,0,72.0,10.5,A
266,267,0,3,0,16.0,4,1,39.69,S,Mr,5,48.0,6.61,C
267,268,1,3,0,25.0,1,0,7.78,S,Mr,1,75.0,3.89,Y
268,269,1,1,1,58.0,0,1,153.46,S,Mrs,1,58.0,76.73,A
269,270,1,1,1,35.0,0,0,135.63,S,Miss,0,35.0,135.63,A
271,272,1,3,0,25.0,0,0,0.0,S,Mr,0,75.0,0.0,Y
272,273,1,2,1,41.0,0,1,19.5,S,Mrs,1,82.0,9.75,A
273,274,0,1,0,37.0,0,1,29.7,C,Mr,1,37.0,14.85,A
275,276,1,1,1,63.0,1,0,77.96,S,Miss,1,63.0,38.98,A
276,277,0,3,1,45.0,0,0,7.75,S,Miss,0,135.0,7.75,A
278,279,0,3,0,7.0,4,1,29.12,Q,Master,5,21.0,4.85,C
279,280,1,3,1,35.0,1,1,20.25,S,Mrs,2,105.0,6.75,A
280,281,0,3,0,65.0,0,0,7.75,Q,Mr,0,195.0,7.75,E
281,282,0,3,0,28.0,0,0,7.85,S,Mr,0,84.0,7.85,A
282,283,0,3,0,16.0,0,0,9.5,S,Mr,0,48.0,9.5,C
283,284,1,3,0,19.0,0,0,8.05,S,Mr,0,57.0,8.05,Y
285,286,0,3,0,33.0,0,0,8.66,C,Mr,0,99.0,8.66,A
286,287,1,3,0,30.0,0,0,9.5,S,Mr,0,90.0,9.5,A
287,288,0,3,0,22.0,0,0,7.9,S,Mr,0,66.0,7.9,Y
288,289,1,2,0,42.0,0,0,13.0,S,Mr,0,84.0,13.0,A
289,290,1,3,1,22.0,0,0,7.75,Q,Miss,0,66.0,7.75,Y
290,291,1,1,1,26.0,0,0,78.85,S,Miss,0,26.0,78.85,A
291,292,1,1,1,19.0,1,0,91.08,C,Mrs,1,19.0,45.54,Y
292,293,0,2,0,36.0,0,0,12.88,C,Mr,0,72.0,12.88,A
293,294,0,3,1,24.0,0,0,8.85,S,Miss,0,72.0,8.85,Y
294,295,0,3,0,24.0,0,0,7.9,S,Mr,0,72.0,7.9,Y
296,297,0,3,0,23.5,0,0,7.23,C,Mr,0,70.5,7.23,Y
297,298,0,1,1,2.0,1,2,151.55,S,Miss,3,2.0,37.89,C
299,300,1,1,1,50.0,0,1,247.52,C,Mrs,1,50.0,123.76,A
302,303,0,3,0,19.0,0,0,0.0,S,Mr,0,57.0,0.0,Y
305,306,1,1,0,0.92,1,2,151.55,S,Master,3,0.92,37.89,C
307,308,1,1,1,17.0,1,0,108.9,C,Mrs,1,17.0,54.45,C
308,309,0,2,0,30.0,1,0,24.0,C,Mr,1,60.0,12.0,A
309,310,1,1,1,30.0,0,0,56.93,C,Miss,0,30.0,56.93,A
310,311,1,1,1,24.0,0,0,83.16,C,Miss,0,24.0,83.16,Y
311,312,1,1,1,18.0,2,2,262.38,C,Miss,4,18.0,52.48,Y
312,313,0,2,1,26.0,1,1,26.0,S,Mrs,2,52.0,8.67,A
313,314,0,3,0,28.0,0,0,7.9,S,Mr,0,84.0,7.9,A
314,315,0,2,0,43.0,1,1,26.25,S,Mr,2,86.0,8.75,A
315,316,1,3,1,26.0,0,0,7.85,S,Miss,0,78.0,7.85,A
316,317,1,2,1,24.0,1,0,26.0,S,Mrs,1,48.0,13.0,Y
317,318,0,2,0,54.0,0,0,14.0,S,Dr,0,108.0,14.0,A
318,319,1,1,1,31.0,0,2,164.87,S,Miss,2,31.0,54.96,A
319,320,1,1,1,40.0,1,1,134.5,C,Mrs,2,40.0,44.83,A
320,321,0,3,0,22.0,0,0,7.25,S,Mr,0,66.0,7.25,Y
321,322,0,3,0,27.0,0,0,7.9,S,Mr,0,81.0,7.9,A
322,323,1,2,1,30.0,0,0,12.35,Q,Miss,0,60.0,12.35,A
323,324,1,2,1,22.0,1,1,29.0,S,Mrs,2,44.0,9.67,Y
325,326,1,1,1,36.0,0,0,135.63,C,Miss,0,36.0,135.63,A
326,327,0,3,0,61.0,0,0,6.24,S,Mr,0,183.0,6.24,A
327,328,1,2,1,36.0,0,0,13.0,S,Mrs,0,72.0,13.0,A
328,329,1,3,1,31.0,1,1,20.52,S,Mrs,2,93.0,6.84,A
329,330,1,1,1,16.0,0,1,57.98,C,Miss,1,16.0,28.99,C
331,332,0,1,0,45.5,0,0,28.5,S,Mr,0,45.5,28.5,A
332,333,0,1,0,38.0,0,1,153.46,S,Mr,1,38.0,76.73,A
333,334,0,3,0,16.0,2,0,18.0,S,Mr,2,48.0,6.0,C
336,337,0,1,0,29.0,1,0,66.6,S,Mr,1,29.0,33.3,A
337,338,1,1,1,41.0,0,0,134.5,C,Miss,0,41.0,134.5,A
338,339,1,3,0,45.0,0,0,8.05,S,Mr,0,135.0,8.05,A
339,340,0,1,0,45.0,0,0,35.5,S,Mr,0,45.0,35.5,A
340,341,1,2,0,2.0,1,1,26.0,S,Master,2,4.0,8.67,C
341,342,1,1,1,24.0,3,2,263.0,S,Miss,5,24.0,43.83,Y
342,343,0,2,0,28.0,0,0,13.0,S,Mr,0,56.0,13.0,A
343,344,0,2,0,25.0,0,0,13.0,S,Mr,0,50.0,13.0,Y
344,345,0,2,0,36.0,0,0,13.0,S,Mr,0,72.0,13.0,A
345,346,1,2,1,24.0,0,0,13.0,S,Miss,0,48.0,13.0,Y
346,347,1,2,1,40.0,0,0,13.0,S,Miss,0,80.0,13.0,A
348,349,1,3,0,3.0,1,1,15.9,S,Master,2,9.0,5.3,C
349,350,0,3,0,42.0,0,0,8.66,S,Mr,0,126.0,8.66,A
350,351,0,3,0,23.0,0,0,9.22,S,Mr,0,69.0,9.22,Y
352,353,0,3,0,15.0,1,1,7.23,C,Mr,2,45.0,2.41,C
353,354,0,3,0,25.0,1,0,17.8,S,Mr,1,75.0,8.9,Y
355,356,0,3,0,28.0,0,0,9.5,S,Mr,0,84.0,9.5,A
356,357,1,1,1,22.0,0,1,55.0,S,Miss,1,22.0,27.5,Y
357,358,0,2,1,38.0,0,0,13.0,S,Miss,0,76.0,13.0,A
360,361,0,3,0,40.0,1,4,27.9,S,Mr,5,120.0,4.65,A
361,362,0,2,0,29.0,1,0,27.72,C,Mr,1,58.0,13.86,A
362,363,0,3,1,45.0,0,1,14.45,C,Mrs,1,135.0,7.22,A
363,364,0,3,0,35.0,0,0,7.05,S,Mr,0,105.0,7.05,A
365,366,0,3,0,30.0,0,0,7.25,S,Mr,0,90.0,7.25,A
366,367,1,1,1,60.0,1,0,75.25,C,Mrs,1,60.0,37.62,A
369,370,1,1,1,24.0,0,0,69.3,C,Mrs,0,24.0,69.3,Y
370,371,1,1,0,25.0,1,0,55.44,C,Mr,1,25.0,27.72,Y
371,372,0,3,0,18.0,1,0,6.5,S,Mr,1,54.0,3.25,Y
372,373,0,3,0,19.0,0,0,8.05,S,Mr,0,57.0,8.05,Y
373,374,0,1,0,22.0,0,0,135.63,C,Mr,0,22.0,135.63,Y
374,375,0,3,1,3.0,3,1,21.08,S,Miss,4,9.0,4.22,C
376,377,1,3,1,22.0,0,0,7.25,S,Miss,0,66.0,7.25,Y
377,378,0,1,0,27.0,0,2,211.5,C,Mr,2,27.0,70.5,A
378,379,0,3,0,20.0,0,0,4.01,C,Mr,0,60.0,4.01,Y
379,380,0,3,0,19.0,0,0,7.78,S,Mr,0,57.0,7.78,Y
380,381,1,1,1,42.0,0,0,227.52,C,Miss,0,42.0,227.52,A
381,382,1,3,1,1.0,0,2,15.74,C,Miss,2,3.0,5.25,C
382,383,0,3,0,32.0,0,0,7.92,S,Mr,0,96.0,7.92,A
383,384,1,1,1,35.0,1,0,52.0,S,Mrs,1,35.0,26.0,A
385,386,0,2,0,18.0,0,0,73.5,S,Mr,0,36.0,73.5,Y
386,387,0,3,0,1.0,5,2,46.9,S,Master,7,3.0,5.86,C
387,388,1,2,1,36.0,0,0,13.0,S,Miss,0,72.0,13.0,A
389,390,1,2,1,17.0,0,0,12.0,C,Miss,0,34.0,12.0,C
390,391,1,1,0,36.0,1,2,120.0,S,Mr,3,36.0,30.0,A
391,392,1,3,0,21.0,0,0,7.8,S,Mr,0,63.0,7.8,Y
392,393,0,3,0,28.0,2,0,7.92,S,Mr,2,84.0,2.64,A
393,394,1,1,1,23.0,1,0,113.28,C,Miss,1,23.0,56.64,Y
394,395,1,3,1,24.0,0,2,16.7,S,Mrs,2,72.0,5.57,Y
395,396,0,3,0,22.0,0,0,7.8,S,Mr,0,66.0,7.8,Y
396,397,0,3,1,31.0,0,0,7.85,S,Miss,0,93.0,7.85,A
397,398,0,2,0,46.0,0,0,26.0,S,Mr,0,92.0,26.0,A
398,399,0,2,0,23.0,0,0,10.5,S,Dr,0,46.0,10.5,Y
399,400,1,2,1,28.0,0,0,12.65,S,Mrs,0,56.0,12.65,A
400,401,1,3,0,39.0,0,0,7.92,S,Mr,0,117.0,7.92,A
401,402,0,3,0,26.0,0,0,8.05,S,Mr,0,78.0,8.05,A
402,403,0,3,1,21.0,1,0,9.82,S,Miss,1,63.0,4.91,Y
403,404,0,3,0,28.0,1,0,15.85,S,Mr,1,84.0,7.92,A
404,405,0,3,1,20.0,0,0,8.66,S,Miss,0,60.0,8.66,Y
405,406,0,2,0,34.0,1,0,21.0,S,Mr,1,68.0,10.5,A
406,407,0,3,0,51.0,0,0,7.75,S,Mr,0,153.0,7.75,A
407,408,1,2,0,3.0,1,1,18.75,S,Master,2,6.0,6.25,C
408,409,0,3,0,21.0,0,0,7.78,S,Mr,0,63.0,7.78,Y
412,413,1,1,1,33.0,1,0,90.0,Q,Miss,1,33.0,45.0,A
414,415,1,3,0,44.0,0,0,7.92,S,Mr,0,132.0,7.92,A
416,417,1,2,1,34.0,1,1,32.5,S,Mrs,2,68.0,10.83,A
417,418,1,2,1,18.0,0,2,13.0,S,Miss,2,36.0,4.33,Y
418,419,0,2,0,30.0,0,0,13.0,S,Mr,0,60.0,13.0,A
419,420,0,3,1,10.0,0,2,24.15,S,Miss,2,30.0,8.05,C
421,422,0,3,0,21.0,0,0,7.73,Q,Mr,0,63.0,7.73,Y
422,423,0,3,0,29.0,0,0,7.88,S,Mr,0,87.0,7.88,A
423,424,0,3,1,28.0,1,1,14.4,S,Mrs,2,84.0,4.8,A
424,425,0,3,0,18.0,1,1,20.21,S,Mr,2,54.0,6.74,Y
426,427,1,2,1,28.0,1,0,26.0,S,Mrs,1,56.0,13.0,A
427,428,1,2,1,19.0,0,0,26.0,S,Miss,0,38.0,26.0,Y
429,430,1,3,0,32.0,0,0,8.05,S,Mr,0,96.0,8.05,A
